,text,sentiment
0,키토제닉 다이어트 식단 너무어렵다 저탄고지 도시락 실패함키토제닉 다이어트 식단 너무어렵다 저탄고지 도시락 실패함  어후  직장 생활을 오래하면 오래할수록 미친듯이 살이 찌기 시작하더라구요     윤블리의 뷰티다이어리 일 전  키토제닉 다이어트 식단 너무어렵다 저탄고지 도시락 실패함키토제닉 다이어트 식단 너무어렵다 저탄고지 도시락 실패함  어후  직장 생활을 오래하면 오래할수록 미친듯이 살이 찌기 시작하더라구요     ,sadness
1,아기가 생기면 해줘야지 하는게 몇개 있다 그중 하나가 이런날 선물 챙겨주기 다른건 생일파티 해주기 목욕탕 가면 바나나우유 먹기 놀이동산 가면 못이기는척 헬륨풍선 사주기 등등 규나 너는 아직 모르겠지만 올해는 엄마 만족으로 준비했어 그래도 뽀로로 캔디 먹을때 너는 좋을껄,love
2,왜 기상캐스터 보는맛에 뉴스보는데  코디도 나름 잘 신경써서 나오고 앵커들 얼굴만보다 기상캐스터들 몸매감상하는거 얼마나 개꿀이냐 유일하게 전신감상을 눈치 안보고 쳐다볼수 있는데 좋지아니한가,joy
3,상속포기 기간과 절차를 반드시 확인하세요오늘은 고윤기 변호사의 칼럼 상속포기에도 때가 있다 를 통해 관련 내용을 살펴보겠습니다 필자는 상속 포기는 후순위 상속인까지 모여서 해야 한다 보통 돌아가신 아버지의 채무가 너무 많다면 로펌고우의 법률상담소하루 전  상속포기 기간과 절차를 반드시 확인하세요오늘은 고윤기 변호사의 칼럼 상속포기에도 때가 있다 를 통해 관련 내용을 살펴보겠습니다 필자는 상속 포기는 후순위 상속인까지 모여서 해야 한다 보통 돌아가신 아버지의 채무가 너무 많다면 ,sadness
4,그래 난 누군가에겐 봄 누군가에게는 겨울 누군가에겐 끝 누군가에게는 처음 난 누군가에겐 행복 누군가에겐 넋 누군가에겐 자장가이자 때때로는 소음 함께 할게 그대의 탄생과 끝 어디든 함께 임을 기억하기를 언제나 당신의 삶을 위로할 테니 부디 내게 가끔 기대어 쉬어가기를,sadness
5,작성한 연설문으로 진심 전해 선거역풍 두려웠음 시작말아야정진후 의원 직접 작성한 연설문으로 진심 전해 선거역풍 두려웠음 시작말아야 이민재기자         일요신문 정진후 의원 직접 작성한 연설문으로 진심 전해 선거역풍 두려웠음 시작말아야     년 전  작성한 연설문으로 진심 전해 선거역풍 두려웠음 시작말아야정진후 의원 직접 작성한 연설문으로 진심 전해 선거역풍 두려웠음 시작말아야 이민재기자         일요신문 정진후 의원 직접 작성한 연설문으로 진심 전해 선거역풍 두려웠음 시작말아야   ,fear
6,육아기록 애 둘 키우기 너무 힘들다 만  개월 아기 스케줄너무 힘들다 근데 웃긴게 둘째 갓난아기를 키워서 힘든게 전혀 아니다 첫째가 너무 손이 많이 가서 힘들다 첫째 키울땐 정말 첫 한 두달이 모유수유에 익숙해 지느라 힘들었지 그거 빼고는 정말 천국을 The Boiling Kettle 일 전  육아기록 애 둘 키우기 너무 힘들다 만  개월 아기 스케줄너무 힘들다 근데 웃긴게 둘째 갓난아기를 키워서 힘든게 전혀 아니다 첫째가 너무 손이 많이 가서 힘들다 첫째 키울땐 정말 첫 한 두달이 모유수유에 익숙해 지느라 힘들었지 그거 빼고는 정말 천국을 ,sadness
7, A  쉽지않네 h jzejze     mandarine    min chhu  minji      push  j 안풀리네 어렵다 모지 회색바지모임눈만보여 A  쉽지않네 h jzejz  시간 전   A  쉽지않네 h jzejze     mandarine    min chhu  minji      push  j 안풀리네어렵다모지회색바지모임눈만보여 ,sadness
8,인천송도 맛집   핫플 인정 맛있게 매운 낙지요리 짱구네 조금 두려웠음   머리를 먹어야지 진짜 맛있다규 쫀득쫀득 탱탱탱 후라이팬 탱탱탱 놀이처럼 냠냠냠  빨간거 칼사리 떡이나 면사리를 넣어먹으면 진짜 맛있을꺼같다고 생각했는데 귀염둥이쪼하루 전  인천송도 맛집   핫플 인정 맛있게 매운 낙지요리 짱구네 조금 두려웠음   머리를 먹어야지 진짜 맛있다규 쫀득쫀득 탱탱탱 후라이팬 탱탱탱 놀이처럼 냠냠냠  빨간거 칼사리 떡이나 면사리를 넣어먹으면 진짜 맛있을꺼같다고 생각했는데 ,fear
9,용서는 구하고 받는 게 아니다 용서를 구한다는 것은 용기만 있으면 언제든지 할 수 있다 하지만 용서를 한다는 것은 용기만으로 할수 있는게 아니다 왜냐면 시간을 되 돌릴 수 없기에 애당초 용서는 할 수 없는 것이다 단지 서로의 마음을 조금이라도 가볍게 만들려고 노력하는 것일뿐,sadness
