,content
fear,다시 이곳에서 만남 나도 기분전환겸 한시간 힐링 다 끝나고 나오니 비가 보슬보슬 내리고 있었다. 좋 점심은 포장해서 엄마네 집으로 가서 맛있게 뚝딱 점심 먹고 엄마 구경 시켜 드리느라 무심천길 따라서 차에 남겨 놨던 아메리카노마시면서 내일은 검진 위해서 먹어야할 약이 있는데 많은 양의 물약을 먹어야 하는 수면 마취를 해야하는 그간 스트 때문인지 오늘 변 색이 좋지 않아 아침부터 놀래서 더욱 더 쫄보가 되었다. 내일 죽을 만들어 먹으려다가 본죽을 사오려다가 마트간김에 그냥 사왔는데 흰죽만 되는건가 헷갈리네
fear,오늘 저녁에 입원해서 내일 아침부터 촉진제 맞고 엄청 아플 예정이다 얼마나 아플지 아직 상상이 안된다. 출산후기 아주 솔직하게 쓸 예정이니... 출산후기에 욕 담겨있어도 이해 부탁.... 주수 꽉 채워서 나올 것 같은 우리 똑똑이 내 뱃속이 너무 좋은건가 이제 슬슬 방 빼도 되는디? 초보 엄마 이겠지만 그래도 열심히 노력할테니까 노력에 대해 잘 따라와줘... 내일은 아마 연락이 안될 수도 있어용...아무도 연락 안해주면 진짜 섭섭...할 거 같기도하고 똑똑이 잘 낳고 올께용?
fear,저번주 자전거타다 팔이 부러진 울아들.. 뼈가 자연스럽게 벌어지지않고 잘 붙어주길 바랬건만... 일주일뒤 더 어긋나있는 뼈... 결국 급 수술행 오전에 옷갖 검사후 입원실 입성... 오후 3시 수술예정... 처음하는 수술에.. 긴장했지만 웃어보이더니.. 엄살도 안부리는 의젓한 아들인데.. 링거맞으려 주사바늘 꼽자마자 엄살 시작 지호야~ 아프지말고 다치지말쟈~ 엄마는 속상해서 어제 오늘 눈물바람이자낭 수술 잘 될거니깐 화이팅하자~!! 사랑해 아들?
fear,술안주를 두고도 술생각이 안나ㅋㅋㅋ 머리가 너무 아파서 바로 병원 먼저 ㅋㅋ 주사기로 목에 바늘 꼽는데 영화에서 사람 죽일때 장면이 떠오른다 머리에서 땀이 나는데 의사가 긴장하지 말란다 속으로 너같으면 목에 바늘 꼽는데 긴장안하냐 3일 약먹고 그때도 두통이 심하면 다시 오란다 주사 치료 다시한다고 그래도 병원 갔다가 약먹으니깐 두통이 들하긴 하네... 내일 지켜봐야지 ㅋㅋㅋ목에 주사맞기 싫으니깐
fear,마마쨩 오늘 아스트라제네카 백신 맞고 와또요 만 29세라 맞고 죽는거 아닌지 두군두군 ... 했는데 다행히 아직까지 잘 살아있어요 오늘밤뷰터 오한이라는데 ... 변기잡는다던ㄷ ... 산이불 덮는다는데... 무덤문 두드린다는데 ..... 너무나 무셔워요  일단은 급히 링키 급하게 주차장 뛰뛰시키고 같이 누워이또요 그와중애 해맑은 링키 마니 뛰어라 내일 못할수도 있으니깡
fear,강아지 좋아했었는데 언젠가 자다깨서 침대밑에 뭐가있다고 무서워서 엉엉 울면서 그러더니. 그이후 방에들어가는걸 무서워할정도로 무서워하고. 강아지있는 친구집에는 가지고 못하고. 그 좋아하는 애교언니도 무서워했다가 겨우 다시 좋아졌는데. 무서움방에 강아지가. 유치원에서 태권도 한줄 몰랐는데 태권도도 그리고. 이모네 게임기가 너무 재미있어서 무서움도 사라진다고
fear,당직스는중ㅋㅋㅋ 좋아하는 노래를 들으며 후배와 차타고 이곳 저곳을 다니는중에 내 현장이 보여서 새벽에 기계실 들어가서 청소하는데 갑자기 기계실 천장 조명도 깜박 깜바 거려서 놀라서 봤더니 후배는 자기 혼자 무섭다고 뛰쳐나감ㅋㅋㅋ 후배는 공구가방 빗자루랑 쓰레기 버릴 박스 놓고 먼저 뛰처나가서 나도 똑같이 다음에 가질러 가기로 하고 언넝 공구가방만 들고 불끄고 뛰쳐나감ㅋㅋㅋㅋ
fear,조직검사 나올때까지 입원이 안되서 오늘 아주대에서 쫓겨남ㅎㅎ 쫓겨나기전 난소암 초음파로 검사하고 악성암인 골종양으로 인해 점점 하체의 감각이 무뎌지는기분 좋은 생각 좋은 추억생각 그리고 아무의심없이 하나님께 의지하기 왜 내게 이런 시련과 고통을 주나이까 원망도 했지만 하나님 아버지의 뜻이 이것이라면 이또한 견뎌내겠나이다 2주뒤에 만나요
fear,카운트다운시작~ 드디어 한자리수.. 이제 1주일남은 예정일^^;;; 출산가방도 다쌌고 준비끝.. 무섭기도하고 설레기도한데.. 최근검진에선 아가가 나올기미가 전혀없다고 ㅋㅋㅋ 엄마뱃속이 좋은가보다고~^^ 그래서 요즘 다시시작한 시민공원걷기 그리고 5층쯤 높이는 그냥 계단오르기 아가~ 슬슬 방뺄준비를 해야지.. . . . . . . . 
fear,"요즘은 감정이 애매하다. 우울하지도 않고, 행복하지도 않은 딱 그 중간 뭐라고 설명 해야할지도 모르겠고, 그냥 불안한 정도..? 요즘 많이 불안하긴 하다고 생각이 들었다. 금방이라도 죽을거 같고, 금방이라도 쓰러질 것 같은 불안감. 괜찮나 싶더니 또 다시 시작 됐다. 내가 어렸을 때부터 감정에 솔직했다면 이렇게 까진 안그랬을텐데."
