,content
anger,"우리의 일상을 들여다보면 자신도 모르는 사이 '기분이 태도'가 될 때가 있습니다. 우울한 날은 어깨가 처지고, 불안한 날은 사소한 것에 예민해 지기도 하고, 분노가 차오르는 날은 자신도 모르는 사이 부정적인 언행으로 이어지기도 합니다. 오늘 서보경tv에서는 기분이 태도가 되지 않도록 '감정을 다스리는 법'에 대해 말씀드렸으니 함께해 주세요 이런분들께 추천드립니다. 1. 감정기복이 잦은 분 2. 한번씩 우울하고, 불안한 감정에서 헤어나오지 못하는 분 3. 분노 조절이 힘든 분 4. 명상에 관심이 있지만 실천하지 못하는 분"
anger,외할배집간다고 신나서 뱅기탓다가 지하끝까지 추락한 개똥이들이쥬 ㅋㅋㅋㅋ 원래 오늘아침일찍 친정가려햇거든요 아빠... 회사서 늦게마치게됫다며 오지마라는 전화.. 두둥 장난감 갖규싶은거 다사줄꺼래서 온갖기대를 다하고잇던 우레기들.. 울고불고 대성통곡 달랜다고 짜장탕슉시켜먹엿지만 뚱해서는 좀처럼 풀릴기미 1도없어보이고.. 아침부터 그럼 언제 갈수잇는거냐 따지규.. 엄마가 안간다햇냐고?? 할배가 오지마란다이가 학교 유치원 가정학습돌렷다가 다시 정상등교등원.. 김무룩들 잘다녀와..;; ㅋㅋㅋㅋ
anger,"우리딸 오늘 정말 많이 혼남.. 엄마의 분노 최대치 벽지를 신나게 세로로 주욱 찢어놨다. 찢고 끝부분 잡아 또 뜯고 또 뜯고 혼내고 방에서 내쫒은 후에, 혼자 딱풀로 복구 (처음엔 너무 심각하고 화가 나서 사진 찍을 생각도 못함.) 모자이크 수준으로 붙이고 또 붙였다. 안 떨어지면 떼지나 말 것이지 작은 손가락으로 떼고 또 뗀듯... 아오. 얼마전에 벽지를 도화지 삼아 연필로 낙서한 거 얼마나 됐다고.. 이번 복구도 나름 성공적.. 멀리서 보면 ..감쪽같다. 지금껏 안 그랬었는데 왜 이럴까?"
anger,어제 저녁부터 감정 컨트롤 고장났다 어디서 왜 감정컨트롤이 안되는건지 파악이 안되고 있다... 종이에다가 끄적여 볼때가 된 거 같구만 내 마음아 무슨일이니?? 오늘 잘한점? 귀찮아서 미뤄뒀던 비상금 한곳으로 모으기 성공!! 너무 오랫동안 묵혀놨다ㅋㅋ 게을러지지말자 아쉬운점 내 마음의 싱숭생숭함을 신랑한테 쏟아부은점.. 미안 여봉 아직도 기분이 안좋아 신경써야할점 오늘은 푹쉬기!!!! 그냥 생각 쓸일은 고이 접어두고 내일 다시 생각하기!! 휴식이 필요하다
anger,"베이킹을 올려보겠다고, 열심히 피드 완료 눌렀는데, 게시는 안 되고 계속 새로고침만 무한반복. - 대학생 때 열심히 과제하다가, 저장버튼 안 눌러서, 글 다 날아갔던 슬픈 기억이 떠오른다. (사실 슬픔 아니고 가 맞음.??) - 중요한건 어쨌든, 는, 봄에 딱 어울리는 매력적인 디저트라는 것. - 버터랑 콩가루로 크럼블 만들어서, 케이크 윗면 뿐만 아니라, 케이크 반죽에도 넣어서 식감을 2배 올려주기. - 새로고침 시도하느라, 이미 오후에서 저녁으로 넘어왔지만."
anger,"사람한테 혐오감이 들 때가 있다, 그저 싫은 게 아니라 혐오감이다 어릴 적부터 쌓여온 증오, 불안, 분노 그저 쉬쉬하고 맞춰주면 끝날 줄 알았던 이기적임, 나에 대한 비하, 욕설 그 끝내 난 터뜨리고야 말았다 모든 책임을 돌리고 남 탓만 하며 본인은 잘난 줄 알고 돌아볼 줄 모르는 , 남에게는 그늘 같은 존재. 나한텐 그늘의 이중적인 뜻만 가지고 있는 그런 존재 내 새울 것 없이 한없이 부끄럽고 숨기고만 싶은 ‘그’ 존재 나는 오늘부터 아버지를 ‘그’라고 부르기로 했다 한없이 한심하다."
anger,나는 늘 가슴 한 켠에 두려움을 지니고 살아왔다 언제 터질지 모르는 나의 분노 한번 터지면 겉잡을 수 없는 그 파장을 잘 알기에 나는 늘 두려웠다 몇 년에 걸쳐 축적된 나의 분노는 타인에게 피해를 주면서까지 결국 폭발했고 그로 인해 모든 것을 잃었다 또 다시 바닥이다 많은 것을 잃고 인생을 뒷걸음질 쳤지만 지금은 두렵지않다 그동안 수차례 경험하면서 깨닫지 못한 것 그것은 정작 나 자신을 사랑하는법을 몰랐기 때문이었다 값비싼 수강료를 치루고
anger,"빗발들이 계속 살점을 떼 먹는다. 목 뒤로 흐르는 것이, 관자놀이를 스치는 것이 꼭 꼬물거리는 것이 사실 이것들은 하늘에서 떨어지는 거머리들 아닐까. 좋다. 이만하면 됐을까. 몸에 붙어있는 모든 것들이 완벽하게 젖었다. 괜히 바닥에 누워본다. 코가 맵다. 위에서 떨어지는 빗방울보다 바닥에서 튀어 오르는 2세들의 아우성이 더 굵직하게 들린다. 사람들이 나를 피해서 걷는다. 신발의 바닥을 누가 신경이라도 쓴다고 저렇게 공을 들였을까."
anger,물피도주한 나쁜놈 못잡아서 너무 우울하고 화나네요 ... 이왕 이렇게 된거 차 관리를 더 빡시게하고 추가적인 피해 없도록 해야겠습니다... 물피도주한 나쁜놈아 너도 어디가서 똑같이 당할꺼고 나보다 더 심하게 당할꺼야 ?? 나중에라도 잡았다는 연락 받으면 선처해줄 생각 1도 없고 차 원상복구 시키게 만들꺼니까 이왕 도망간거 잡히지마  인친 분들도 물피도주 정말 조심하세요... 날도 좋은데 드라이브가 땡기네요 퇴근하고 가야겠슴다
anger,한번의 다툼은... 항상... 계속 치밀어 오르는 울화! 더 깊은 허탈! . 겨우 겨우 짜내어 버텨내고 있는 내 모든것에 치명상을 입힌다! 그럼에도 불구하고 무.한.반.복 . 이 굴레를 어찌 벗어나야 하는가!? 오랜세월 쌓이고 쌓여 이젠 극단적 생각까지 들게하는 이 말도 안되는 사소한 다툼!!! 이것으로 촉발되어 폭포수 처럼 쏟아져 내리는 내면의 자괴감과 분노! 언제까지 해야하는가? 언제까지 할수있을까?
