,content
love,"인증됨 사랑하는 상대방의 행복이 곧 나의 행복이 되는 일. 이렇듯 사랑은 늘 동화 같은 장면으로 우리의 삶에 드리우곤 합니다. 오랜 시간 박동했다 해서 절대로 쉽게 낡지 않는 마음이죠. 늘 엄마 같은 사람과 결혼하겠다 호언장담하던 어린 시절의 다짐은 여전한 듯싶습니다. 내가 누군가에게 그런 사람이 되어주어도 좋겠다는 생각도 일렁이고요. 꼭 서로의 행복을 서로가 만들어 줄 수 있는 아름다운 사랑을 하고 싶어요. 그런 사랑 앞에 놓이게 된다면, 더는 바랄 것도 없겠습니다."
love,동영상 편집에 물들다~~ 15년지기 한곳에서의 나의일터~~ 나의 30.40대를 한곳에서~~ 지긋지긋하기도 하건만 고객님들이 있어서 햄많이 뽁았다요~~ 아이롱다운펌 고객님 몇분은 제가할머니되어도 아이롱돌리랍니다ㅋㄷ 한땀한땀 돌리고 당기고 죽이고 당기고~ 내 손목은 아야해~~~ (동영상주인공은 훈남고객님ㅎㅎ 치치광장점 우두머리ㅎㅎ) 저또한 일이좋고 건강만 허락한다면 언제나 고객님들과 함께할지어다ㅎ 아짜홧팅 10시까지 미용인의 마음자세
love,"푸른단풍 하트 작년과 다릅니다. 일주일이 다릅니다. 하루가 다릅니다. 녹음이 하루하루 생동감 넘치게 변화고 있습니다. 단풍나무도 푸른 별무리로 수 넣고 있네요 오늘 하루, 숨을 주셔서 하나님이 지으신 아름다운 세상을 보고 느끼고, 사랑하는 이들과 함께 할 수 있도록 제게 허락하신 소중한 일상이 저에게는 큰 은혜이고 감사입니다. 45분"
love,1923년 5월 1일 첫 번째 어린이날 기념행사에서 ‘어른들에게 드리는 글’이 배포되었는데 “어린이에게 경어를 쓰시되 늘 부드럽게 하여 주시오”라고 당부와 함께 방정환은 독립된 인격체로서의 어린이에 대한 존중을 부탁하셨습니다 첫 번째 어린이날의 구호는 “씩씩하고 참된 소년이 됩시다. 그리고 늘 서로 사랑하며 도와갑시다”였습니다 2021년 5월 5일 모든 어린아이들에게 행복한 하루로 기억 되기를 바래봅니다
love,난생처음 유모차 타고 태어나서 처음으로 산책을 했어요?? 이모야가 다른 애들 몰래 꼬꼬다리도 사주고 한개 다먹고 올땐 기부니 좋아졌때요. 반달이는 정말 성격이 와 외모도 닮고 성격도 닮은 느긋하고 태평스런 아이예요 물론 소심하기에 도망은 가지만 사람에 대한 호기심이 많아요
love,"모두에게 좋은 사람이 될 필요는 없다. 그저, 내가 더 마음이 가는 사람에게 내 마음이 닿는 만큼만 다가가면 된다. 바람이 머물다가 간 자리만큼만 다가서도 된다. 굳이 애쓰지 않아도 된다. 모두에게 좋은 사람이 되려다 내 소중한 사람들과 멀어질 수도 있고, 내 자신에게 소홀해질 수도 있고, 멀어질 인연을 애써 붙잡고 있을 수도 있다. 내가 지키고 싶은 것들을 위해서 내가 놓아야 할 것들을 놓는 방법도, 조금 멀어지는 방법도 배워야한다."
love,"5월은 푸르구나~~~ 오른손 쫙 펴면 5월이 되고요 왼손을 짝 펴면 5일이 되지요 어린이날을 맞이하여 어린이집에서 아주 스페셜 하게 우리 아이들에게 재미있는 추억을 선물해 주었고 코로나 때문에 모든 것들을 다 누릴 순 없었지만 어린이집 공간 안에 에어바운스를 설치해서 우리 아이들과 반별로 뛰어 놀기도 하고 공연도 보고, 종이뽑기로 선물까지 아주 소소하지만 특별한 하루였다 명품 어린이집 국공립 정관2어린이집의 선택은 오늘도 최고 였다"
love,"사랑한다는 한마디에 영화를 좋아하는 됐고, 꽃집 앞에서 서성이는 사람이 됐고, 전화를 하루 종일 붙잡고 있는 사람이 됐고, 사소한 것들에도 의미를 부여하게 되는 사람이 되었다. 이제는 당신의 무채색의 말들까지 사랑스럽게 보이고, 하루에도 수십 번 나누는 대화도 소중하게 느껴진다. 이렇게 좋은 사랑이면 온몸이 다 젖을 정도로 빠져 허우적거리고 싶다. 빠져나가지 못하고 영원히 갇힌다면 더 좋고."
love,"비 꽃무덤 어깨 (오늘 엉망진창으로 늙음) 가등 아래로 빛이 비처럼 쏟아진다 신의 자비는 저와 같다던데 의식, 의심, 의지, 다시 의심 하나씩 실어 걸음 걸음 내딛는다 누군가가 꺾어 버린 꽃무더기 꽃, 무덤 그 위로도 여전히 빛처럼 비가 내린다 마음이 불쑥 삿대질한다 당신도 한발 늦었다고 나는 두 발 물러섰고 뚝뚝 떨어지는 비가 어깨를 쳐내린다 한번 더 늙어버렸다 , 신은 늙은 나를 다시 낳아 안아 기를까"
love,"시간이 지나면 괜찮을꺼야 모든 건 변하니까 삶도 파도처럼 널뛰며 좋아졌다 나빠졌다 하겠지 오늘 우울하면 내일은 또 행복할꺼고 내일이 행복 하다면 , 또 내일 다시 우울해져도 괜찮아 그 대신 꼭 알아 둬야 할껀 말야 나를 꼭 사랑하자야. 꼭 사랑하자 너 자신을 울어도 , 슬퍼도 , 우울해도 괜찮아 파도처럼 흘러갈꺼니까. 혹시나 파도가 깊게 휘몰아 쳐서 너를 잡아 먹는다면 그때는 내가 널 지켜줄게."
love,300g 가즈아! 쌀알 끄트머리 같은 이빨이 나오고서 젖병 꼭지를 잘근잘근 씹고 뱉기를 반복. 최근들어 엄청 잘 먹는다 싶었는데 산넘어 산이다. ㅎㅎ 희망씨 왜때문에 퀘스트를 계속주니.. ㅋㅋ 꾸준히 계속계속 관심 사랑 달라는거지??? 짜식. 그래 우리 새유코와 임보엄마랑 함께하는 동안 넘치게 사랑주꾸마잉. 폭풍 성장한 만큼 조만간 슬며시 이유식 들어가도 야금야금 잘 먹을 것 같아서 주문 꾹- 했음.
love,"고린도전서 10:31 그런즉 너희가 먹든지 마시든지 무엇을 하든지 다 하나님의 영광을 위하여 하라 아멘. 요즘 자주자주 떠오르는 말씀이고 열심히 지켜야 할 말씀. 내가 나를 위하여 살면 탐욕적이고 나태해지는반면,, 무엇을 하든 주님의 영광을 위해 움직이게 된다면 삶자체가 정말 반짝반짝 빛날 것같다.^-^ 오직 주께 영광! 나의 모든것이 주님의영광위하여 쓰여지기 소망합니다??"
love,"나는 시를 참 좋아하고 또 느끼는 걸 그렇게 표현하기를 좋아하지만. 이 순간 만큼은 ""사랑해"" 그 세 글자를 채울만한 다른 무언가가 존재하지 않을 때가 있어. 그때가 바로 인생 그 자체가 시가 되는 순간이겠지. 여기에 외치는 것, 그것은 어쩌면 부질없는 것인지도 모르겠지만, 공중에 던지는 이 세 글자가 너에게 끝없이 해주어도 넘치도록, 넘치도록 터져나오기 때문이야."
love,가려진 나의 시간을 보려하지마 지금 이 시간만 바라봐줘 숨겨둔 나의 아픔을 들여보지마 지금 이 마음만 느껴줘 가린 시간과 아픔을 넌... 몰랐으면 해 가려진 너의 시간도 보여줘 온전한 너를 바라보고 싶어 숨겨진 너의 아픔도 들려줘 온전한 너를 느껴보고 싶어 너의 시간과 아픔까지도 난 사랑할꺼니까
love,"신록의 계절 비가 내리니 초록의 싱그러움 한강다리 벤치의자에도 비가 내린다 촉촉하게 젖은 의자가 낯설기보다 느낌이 가득하다 책 한권 소개합니다 내일 손잡고 가까운 동네서점으로 ""나는 나무처럼 살고 싶다"" 김수환 추기경님의 추천책 어버이날 .스승의날 준비 카네이션도 준비 내일부터 경의선 책거리 북플로우 축제 다양한 프로그램이 진행 아동산책에서 수제 카네이션 판매"
love,"어린 시절 친구 집에 놀러 갔었다. 화장실을 갔다 오며 친구 어머니가 친구에게 말하기를, ""쟤처럼 부모 없는 아이는 네가 더 잘해줘야 해""라고 하시더라. 애써 못 들은 척, 덤덤한 척했지만 그날 밤 처음으로 돌아가신 아버지를, 달아나버린 어머니를 원망하며 울었다. 열세 살의 내가 감당하기에는 너무 아픈 말이었기에. 당신 아들과 내가 그리 다른가요."
love,아기가 네 다치는 손을 보고 반창고를 붙었어요. 너무 귀엽고 사랑스러워요. 사랑의 느낌을 느껴줬어요. 하나님아빠 처럼 사랑이다.
love,"우리가 제일 잘 하는 , 방긋 웃기. 엄마랑 걷다 지인을 마주치면 목소리, 웃음소리, 웃는 모습 그리고 건강한 몸으로 걷는 뒷모습까지 닮았다며 밝게 이야기를 전하고 지나간다. 요가를 하면서 엄마와 닮은 모습을 발견한 만큼 그만큼 다른 면도 보게 된다. 그래서일까 더 섬세하게 들여다보게 되는 것이 요가 수련에게 참 고마운 일이다. 소중해"
love,요즘은 잘 지내? 우리가 헤어진지 4달이 되가도 너 걱정은 자꾸 하게 되더라. 이번 시험은 잘 봤어? 너 시험 잘 못보면 몇일을 우울해하잖아. 안우울해했으면 좋겠는데. 밥은 잘 챙겨먹고? 아픈곳들은 없고? 오지랖이라는 것을 알지만 걱정 돼. 그냥 너가 아직 좋아서 걱정 되나봐. 내 마음 조금만이라도 알아주면 좋을텐데.
love,"비가 오기전에 등산~~궈궈 산을 보고와야지 하루가 가는 느낌 백수인생 즐길만하네 아카시아냄새가 느무너무 좋아서 따고 싶다했는디 오늘 바람이 많이 불어선지 똑 떨어진 아카시아 냄새. . 향기. . 너무좋다 돈으로 살수 없는 이냄새 아~,한그루 갖고싶당 오늘도 산향기 맡고 하루보냄"
love,"아기가 생기면 해줘야지 하는게 몇개 있다. 그중 하나가 이런날 선물 챙겨주기! (다른건 생일파티 해주기, 목욕탕 가면 바나나우유 먹기, 놀이동산 가면 못이기는척 헬륨풍선 사주기 등등..) 규나 너는 아직 모르겠지만 올해는 엄마 만족으로 준비했어?? 그래도 뽀로로 캔디 먹을때 너는 좋을껄...?"
love,마늘바게트 진챠진챠 크림 듬뿍듬뿍-!!!!!!!!!!! 진챠진챠 마늘바게트랑 맥주랑 먹으면 꿀조합인데 모르는 사람이 너무 많네 속상 달달하니 우리 마늘바게트 마시가있는데 맥주랑 먹으면 더 마시가이찌 암만 갓 나온 마늘바게트는 또 입천장 데이면서 먹어줘야 제맛이지ㅋㅋㅋㅋㅋㅋㅋㅋ
love,나는 네 앞에서 참 많이 울었다. 원래 감수성이 풍부해서 감동을 시키는 것을 보면 눈물이 많았지만 네 앞에서 우는 것은 그렇지 않았다 가만히 너를 바라보고 있으면 따뜻함이 차올라 항상 기뻤다. 그 기쁨이 계속 간직할 수 없다는 것을 의식하게 되는 순간 슬픔이 차올라 나도 모르게 눈물이 난다.
love,"울 아들은 빨강 카네이션~ 울 딸은 파랑 카네이션~ 퇴근 후 기쁘게 건네주던 귀염둥이들 안방으로 비밀스럽게 불러 카드를 건네주던 딸램 ""엄마 나는 파랑색인데 의미가 있어. 다이아몬드보다 가족을 사랑한다는거야"" 엄마 보다 늦게 온 아빠에게 처음인것처럼 카드를 전해주는 너희들은 대단해"
love,화창에서 준비한 어린이날 선물? 아이들에게는 시원한 티셔츠 부모님에게는 사랑을 표현하는 감동이벤트까지 ㅎㅎ 사랑을 받으니 사랑을 주었고 사랑받는법을 알게되니 사랑을 나누는 사람이되네요 사랑을 교육하는 따듯한 화창태권도장 사랑은 가까이에 있습니다~~!! 화창 화이팅~!!!
love,"주님, 주님의 사랑과 정의를 노래하렵니다. 주님께 노래로 찬양드리렵니다. (시101:1, 새번역) . 통독 잠언 4장 / 시편 4편 . ??주님의 사랑에 감사드리며... 오늘 주신 말씀대로 정의를 따르고 악을 멀리하며 주의 길을 갈께요~"
love,나랑 18년울 함께한 인형을 소개 합니다. 얘는 어쩌다 저랑 이리 오래 살게 되었을까요? 내가 무조건 끼고 잠드는 인형이라 그런가.. 이젠 빨아도 꼬질한 느낌 그대로 인데.. ㅎㅎ 이 나이에 애착인형이라니... ㅋㅋ (믓 친구들은 사람을 안고 자라 하더란...)
love,생일 초 불 끄기 실전~ 재미있는지 초 켜고 노래 부르고 불 끄고 연속 5번~~ 하영이만 좋다면야~ 초 끄고 손 흔들며 감사인사 케이크는 엄마가 요즘 공룡이 좋길래~ 트리케라톱스 뿔에서 반짝인다길래~ 펭수 아기상어 제치고 공룡 케이크로 하자 했어
