,content
sadness,"""내 표정을 알아?"" 살면서 한번쯤은 ""너 표정이 왜그래?"" 라는 말을 듣고 ""내 표정이 왜?"" 라는 생각을 해봣을 거다 사랑하는 연인의 표정 사랑하는 부모님의 표정 스쳐 지나가는 행인의 표정 테레비에 나오는 연예인의 표정 다양한 이유로 뉴스에 나오는 표정 그 외에 보아온 수많은 표정 하지만, 난 무슨 표정을 어떻게 짖고 있지? 사람 감정을 읽기 위해 우리는 표정을 보는데 당신의 표정은 본적이 잇나? 내가 보는 내 표정 중 가장 많은 표정은 무표정이 아닐까? 나한테 내가 감정을 표현 할 이유가 없엇다. 하지만 문득 내가 사랑하는 나에게 웃는 표정, 슬픈 표정, 화난 표정 을 편하게 보여주면 난 내게 위로를 받게 되는거 같다. ""당신은 당신을 어떻게 위로하는가?"""
sadness,"<슬픔의 위안> 에서 또 공유. ""무슨 말씀을 드려야 할지 모르겠지만 제가 안아드려야 할 것 같군요."" ""알아요, 당신이 무슨 말을 해야 할지 모른다는 걸. 그러니 그냥 날 안아줘요. 아니면 앉아서 커피를 한잔 하거나 함께 걸어요."" 누군가가 ""분노 단계는 거쳤나요? 아니면 부인 단계? 아니면 타협 단계? 아니면 우울 단계? 아니면 수용 단계인가요?"" 하고 묻는다면, 슬픔에 빠진 이들은 아마 ""오늘 아침에 그거 다 겪었어요""라고 대답할 것이다. 슬픔은 늘 책에 나오는 것보다 복잡하다. 수많은 심리학 자료들을 읽되, 그것들을 자신만의 슬픔으로 조리해야 된다는 것을 알고 있어야 한다."
sadness,낡은 책 미로처럼 얽히고 설킨 골목과 가는 곳만 찾는 단골 손님들 형형색색 네온 사인 밝은 거리와 짙은 밤으로 무채색 칠 된 길 고양이들 엇박자 마구 타는 턴 테이블의 컨츄리와 2/2 박자밖에 없는 걸음 소리 복잡하고 다채로운 것을 말하고 서울역을 가는 열차는 늘 만원이다 저마다의 지평을 넓힌 책이 쌓이고 수많은 오류는 오롯이 고목들을 죽인다 헤드라인들은 거듭 날카로워지고 그에 질린 시선들은 무뎌진다 도무지 마음에 비가 그치지 않아 낡은 책을 꺼내고 눈을 감는다 내 영혼의 그윽히 깊은 데서 맑은 가락이 울려 난다 하늘 곡조가 언제나 흘러 나와 내 영혼을 고이 감싼다 .
sadness,"내가 다 해결되었다고 생각하는 일에 여전히 매달려 고뇌하는 사람들이 있으면, 그 사람들을 우습게 볼 것이 아니라, 자신이 빠뜨린 것이 없는지 되돌아보는 게 이롭다. 독창적인 생각은 대개 그럴 때 얻어진다. 일종의 과제 집착력이랄까. 아이들한테만 강요할 게 아니라 어른들도 가져야 할 태도가 아닌가 싶다. 수학 문제 하나 제대로 알고 푸는데도 수고가 만만치 않은데 삶의 문제를 너무 쉽게 해결해버리려는 건 아닌지 반성하게 된다. 게다가 삶의 문제는 대부분 답을 내는 데서 끝나는 게 아니고 그 답을 살아내는 게 필요하니 간단히 마무리될 수 없다. 삶을 사랑한다는 건 결국 문제를 사랑하는 것이라는 말을 다시 이해한다."
sadness,"선택이었던 미로가 뒤틀린다는 말, 우리의 세계가 변했다는 것으로 간주해도 될까 앞에서 사탕을 흔드는 아이의 사탕을 덥썩 물자 태양의 파장으로 스펙트럼이 터져 아이는 눈물을 흘렸고 나 또한 터졌어. 아이의 물방울 하나를 터쳤을 뿐인데 나는 핏방울을 터쳐야 했어 아이의 죄는 화성에, 나의 죄는 태양에 산고, 이 세계의 계산 방식이 이상해 그러니 네가 이 미로를 비튼거지, 해독할 수 없는 것들 속 내가 알고 있는 너의 미로로. 우리가 소싯적 행하지 못 한 유예된 것들을 완성 짓기 위해 시월, 부모의 미로에서 숨이 끊겼던 나를 위해"
sadness,짙은 새벽 누군가 두드려 작은 빗방울 하나 둘 뚝뚝투둑 무슨 일이 있는건지 어떤이의 슬픔인지 왜인지 마음이 아려오는 소리만 귓가에 내려앉는다 어떤이의 눈물은 아닐런지 지금 어딘가에서 울고 있을 어떤이의 울음소리인지 슬픈 마음을 잠시 기댈 곳이 필요한지 우리집 창문 앞에 서성여 저 눈물엔 어떤 이유가 맺혔을까 알수없는 난 들려오는 아린 소리에 아프지 않기를 좋은 날이 오기를 모두의 안녕을 진심으로 빌어본다 여전히 쏟아지는 빗방울은 슬픈이들의 외침 같아서 하늘이 대신 우나봐 어제도 그제도 흐린날씨에 비까지 멈출 생각을 안해 서툰 손짓이지만 나라도 걷어내보는 먹구름 티 없이 좋은 날을 선물해주고 싶었어
sadness,"고레에다: 웃음 가득한 이야기 속에, 일순 아주 본격적인 순간이 툭 들어와요. 구제 씨의 드라마는 그 점이 멋져요. 키키: 그런 센스가 빛날 때가 있었지. 고레에다: 그 부부 컷 말인데요, 0.5초인가 1초쯤 화면이 그대로 있어요. 배우도 딸의 목소리를 '듣고 있는' 연기를 확실하게 하고요. 키키: 역시 사람의 마음을 꽉 움켜쥐고 있었던 거야. 빛났던 시기에는. 내가 보지도 못한 오래전 티비 드라마의 한 장면을 설명하는데 어쩐지 그게 무슨 말인지 이해가 되었다. 삶의 아주 작은 부분까지도 섬세하게 관찰하고 기억하는 사람들이 하는 '사람의 마음을 꽉 움켜쥐고 있었다'는 말 같은 것들."
sadness,오늘은 아침내내 내 눈앞에서 서성이고 있다. 사랑해 레이 침대에 누워 눈은 레이를 쫓고 귀는 작게 틀어놓은 티브이 뉴스소리를 듣는다. 너무 소리가 크다. 인터넷 뉴스를 읽어본다. 평생을 안봐도 좋으니 살아만 있어달라고 청년의 아버지는 말했다 한다. 눈물이 흐른다. 몸과 마음이 깊은 땅속으로 꺼진다. 가슴에 안고 있는 넘치도록 풍성하고 싱그러운 어제의 봄은 사라졌다. '냐옹냐옹' 계속 내 눈앞에 있다. 닿을 수 없는 먼 곳으로 떠났지만 가슴에 손을 모으면 만질 수 있는. 바람이 불때면 보이는. 비가 오면 볼 수 있는. 눈이 오면 볼 수 있는. 매일 볼 수 있지만 손을 잡을 수는 안아볼 수는 없는.
sadness,"무심코 지나칠 뻔한 예쁜 편지지의 당신 이름. 요동치는 마음을 다잡으며 다시 한번 읽어본 당신의 편지는 여전히 포근했다. 나를 만날 때에 당신은 비로소 자신의 모습을 되찾을 수 있다고, 나를 만난 건 크나큰 행운이라고 했다. 그 한 마디는, 내가 당신 곁에 계속 있어도 될, 아니 있어야만 할 명분이 되었다. 나의 생일, 우리는 그것을 기점으로 더욱 가까워져 갔다. 그때가 내 생일이라는 게 감사할 정도로. 당신이 그때 주었던 선물은, 여전히 나의 집에 고이 모셔져 있다. 당신의 편지는 아마 오랫동안 버리지 못할 것만 같다는 생각. 누군가에게 중요한 사람이 되는 일, 그것만으로도 충분히 특별하다."
sadness,"아닌 척 애써 감추는 눈물, 애써 감추는 감정, 애써 억누르는 슬픔 애써 아닌 척 밝게 웃어본다, 내 감정을 감춰본다. 하지만 숨길 수 없는 내 감정, 표정, 슬픔 입은 웃고 있지만 눈에는 눈물이 흐른다. 말은 '괜찮다, 별일없다.' 라는 뻔한 ""거짓말"" 넌 잘 알고 있잖아, 별일 있고 힘들어 하고 무너져 내려가는데 견딜 수 없는데 그렇게 웃으면서 아무렇지 않게 얘기한다. 힘들어 하면서 마음이 아프면서. 그렇게 나는 가면 속에서 살아간다. . . 힘들면 힘들다고 표현해도 돼, 울고 싶으면 울어도 돼. 굳이 네가 힘들게 혼자 끙끙거리지 말고. 다른 사람한테 표현을 해봐. 겁 먹지 말고 천천히."
