,content
joy,"<봉제인형 살인사건> - 다니엘 콜 런던의 한 아파트에서 발견된 시신 한 구. 신체 여섯 부위를 꿰매어 이어붙인 이 사건을 사람들은 이렇게 불렀다. <봉제인형 살인사건> 이 시체의 손가락이 가리킨 곳은 이 사건을 담당하게 된 울프 형사의 집. 울프 형사는 과거 법정에서 살인사건 무죄를 받은 죄인을 때려눕혀 강제로 정신병원에 입원한 이력이 있는 독특한 경력의 소유자. 결국 무죄를 받은 이 죄인이 또다른 살인을 저지르면서 억울함을 벗게 되나 그로서 받은 상처와 충격은... 또다시 도착한 편지에는 범인이 살인을 예고한 여섯명의 이름과 날짜가 밝혀지는데 마지막 인원이 바로 울프 형사라니...?? 여섯 구의 꿰매어진 시신 그리고 살인 예고된 여섯명과의 관계가 하나 둘씩 밝혀지게 되면서 드러나는 이 사건의 진짜 동기는 바로 '파우스트 살인' 추리소설의 스포는 범죄이므로 여기까지.. 책의 시작부터 속도감과 몰입감이 엄청나던, 가슴이 쓸데없이 두근대고 밝혀지는 인물들과의 관계에 긴장을 놓을 수 없던 여섯구를 꿰맨 시신부터 대담한 범인의 살인예고 까지 독특하고 기이한 구성으로 추리소설 매냐인 나에게 또다른 긴장과 카타르시스를 안겨준 책 추리소설 책소개에 이어서 뜬금없지만 두달만에 와이프와 걷기 마눌님 다리가 아직 덜 낫긴 했지만 그나마 걸을만 하다고 다정하게 손잡고 함께 걸었던, 제법 센 바람의 쌀쌀함이 뺨을 스치는 이밤. . . "
joy,"4월 30일 금요일 (오랜만에 욕 좀하께) 이사를 했다. 내 앞에 세입자 개간년이 12시까지 짐 다 빼준다고 그때 오라길래 아침일찍 일어나서 여자친구랑 둘이서 2시간 만에 급하게 짐 다 싸가지고 시간 딱 맞춰 갔다. 근데 이 썅껏 나무늘보 가족 셋이서 능률 떨어지게 움직이는데 뭘 어떻게 해야될지도 모르고 와리가리 쳐 하길래 하도 답답해서 조금 도와줄까 싶어서 이것 저것 빠트린것들 챙겨주니까 자기 물건이 원래 아니였다고 자기가 가져온 물건이 아닌것은 여기 놓고 가겠다고 우리보고 치우든가 해란다. 그리고는 아직 자기들 보증금 안받았으니 들어오지 말고 집에서 나가라고 하더라 12시에 짐 다 빼주기로 약속하고 시간 맞춰 왔는데, 3시까지 짐 쳐 안빼는 나무늘보 셋은 미안하다는 말도 없이 쓰레기만 한바가지 남기고 그대로 갔다. 바닥에 고양이 트래끼는 왜그래 많은지 화장실 변기랑 비대에는 똥을 칠갑으로 묻혀놓고는 하...드르바 죽긋드라 쳐다만 봐도 올릴꺼 같아가꼬 내 사비로 청소업체 불러서 해결했다.하... 분해 죽긋다. 오늘 손 없는 날이라드마 손이 상당히 많은데? 휴.... 고양이 한마리 나무늘보 세마리 꿈에서라도 대가리 밟아 트자뿌야긋다. 결론: 여자친구가 처음부터 끝까지 너무 많이 도와줬다. 많이 힘 들었을텐데 싫은 내색 한번 안하고 계속 웃어주고 너무 예쁘다. 내가 더 잘해야 되겠다. 3일"
joy,"그리고 정신없이 바빴던 4월 그래도 입사이래 우리 부산사무실 최대실적 찍고 보람찬 한달을 마무리할 수 있어 행복했던 마눌 다리 다치고 바쁘고 등등... 저녁 운동은 소홀했지만 라운딩 간거하고 수영장 시스템 트래픽때 빼구는 주중 1일1수영에 30일중 28일 운동기록 매우만족 이런 뽜이팅으로 5월도 달려보자아~~~ 오늘 피드는 정신없지만 더 특별하게, 일도 프로, 육아도 프로, 자기관리도 프로 여신포스로 상한가를 달리고 계신 @heeja_nim613 님의 지목을 받아 퍼스트마스크챌린지 참여합니다. 웃는 모습이 영 어색하지만?? 좋은 뜻으로 참여하는 일이니 만큼 코로나를 한번에 날리는 마음으로 그리고 의료진과 관계자 여러분께 감사의 마음을 담아 오늘 아침 수영마치고 활짝 웃는 사진을 올려봅니다 마스크를 들고 환하게 웃는 사진을 SNS에 올려주시면 ""제주특별자치도 백혈병 소아암 협회""에 퍼스트짐이 게시글 1건당 KF94 마스크 5장씩 기부한다고 하니 뜻깊은 칠랜지에 많은 관심과 참여 부탁 드립니다. <참여방법> 1. 마스크를 들고 웃는 사진과 함께 게시글 사진을 같이 올린 후 3명을 지목 2. 48시간 내에 게시글을 올려주셔야 합니다. 3. 퍼스트 필수 해시태그 필수 뜻깊은 챌린지에 함께 동참해 주세요~"
joy,"리부트. 기억을 더듬어 다시 맨처음으로.. 나 혼자서,그리고 최초의 첫 해외여행 22살의 블라디보스톡..2015년10월14일.. 아직도 혼자 집을 나서던 그날 아침을 기억한다.. 가을 태양은 눈부신데 나는...""아 ... 어떻게하지 그냥 가지 말까..다시 집에 갈까ㅠ"" 생각하고 생각했는데 ""그래 가자!"" 라고 선택하고 결국 공항철도에 몸을 실었다. 이후 내가 러시아에서 살며 러시아어를 공부할 수 있게 해줬고, 여친 마리아와 수많은 러시아 친구들을 만나게 해줬고, 시베리아 횡단열차로 혼자서 대륙횡단을 가능하게 해줬고, 유럽 전역을 혼자 돌아다니고, 동남아, 중앙아시아까지 17개의 나라를 혼자서 갈 수 있게 해줬던, 그 원동력이 이 태어나서 최초의 혼자 해외여행인 블라디보스톡 혼자 첫여행 이었다 ㅎㅎ 그래서 그런지 나는 아직까지도 한국사람과는 같이 여행을 출발해본적이 한번도 없다 ㅎㅎ 같이의 추억이 아닌 ""혼자만의 낭만"", ""혼자 맛보는 즐거움"" ""솔플의 최고봉""의 의미를 알게됬다 ㅎㅎ 6년 전이지만, 아직도 10월 14일에는 항상 추억에 젖는다 ㅎㅎ사진은 비행기 옆에 탔었던 똑같이 혼자 휴가 왔던 한국 형이 찍어주셨다 ㅎㅎ 19시간"
joy,"과거 / 나의 러닝은 [ 다이어트 ] 였다.  현재 / 나의 러닝은 [ 즐거움 ] 이다. 미래 / 나의 러닝은 [ 답이 ] 없다. . . . 2018년 보디빌딩대회를 준비하던 나는 체지방을 빼기 위해 유산소 목적의 달리기를 시작했다. 과거의 나에게 달리기는 그이상도 그이하도 아니였다. 그렇게 재미없는 달리기를 지속하던중 우연히 알게된 NBRC. 그리고 '2019 런온서울 10km 프로그램', '2020 동아마라톤 풀코스 프로그램' 을 통한 뉴발란스와의 인연. 그렇게 난 처음으로 달리기에서 러닝이란 말을 사용했다. 아무것도 모르던 내가 훈련프로그램에 참여하며 어라? 이거 재미있네? 러닝에 흥미를 느끼기 시작했고, 빠른 러너들을 보면서 저 사람들은 왜 빠른거지? 기록에 욕심을 가지기 시작했고, 러너들과 같이 보내는 시간이 너무 즐거운데? 내 주위에 좋은 사람들이 함께하기 시작했다. 내가 미래에 러닝을 얼마나 더할지, 또 그 끝이 어디까지일지는 솔직하게 나도 잘 모르겠다. 다만 분명한건 난 러닝이 좋고, 지금이 즐겁고, NBRC와 런오공, 그리고 긱스크루와 함께하는 이 모든 시간이 행복하고 감사할뿐..."
joy,그림책공부 <샘과 데이브가 땅을 팠어요> 존 클라센 그림 맥 바넷 글 서남희 옮김 시공주니어 열심히 삽질한다 보는 내가 답답할 정도로 요리조리 피해 삽질한다 그런데 아이들은 지치기는 커녕 즐거워 보인다 이게 무슨 재미가 있나 싶은 것들을 아이들은 집중해서 할 때가 있다 가끔 어른들에겐 노동인 것들도 아이들은 재미난 놀이로 받아들이기도 한다 무슨 일이든 어떻게 받아들이냐에 따라 놀이도 되고 노동도 된다 살다보니 어떤 일들은 결과가 흡족해야 보람을 느껴고 어떤 일들은 과정만으로도 충분히 감사하고 행복했다 결과가 흡족해야 했던 일들은 그렇지 못했을 때 스스로에 대한 실망이 생겼고 다시 시작할 때 두려웠지만 과정이 즐거웠던 일들은 실패를 해도 다시 가야만 하는 이유가 있었고 그것은 나를 평가하는 기준이 아니었다 나는 즐거운 일을 뒤늦게야 해보았다 해보니 행복하고 힘들지만 하게 되더라 우리 아이도 나중에 그런 일을 찾으면 좋겠다 샘과 데이브처럼 결과가 아쉽더라도 피곤할 땐 고민 없이 푹 쉬고 즐거운 과정으로 받아들일 수 있는 그런 일과 나의 가치는 결과가 아닌 나의 성실함으로 내릴 수 있는 그런 사람으로
joy,"내 친구들, 언니들, 동생들 등등 나를 많이 사랑해주는 사람들이 제 집에 오고, 말로는 집들이다 뭐다 이랬긴 했지만...그냥 코로나인 이 시기에 최소 인원들로 모여 제가 요리한 음식들 먹고 하하호호 수다떨고 그래서 전 너무나 좋았습니다. 얼굴 볼 수 있어서 좋았고, 북적거려서 좋았고, 잔소리 듣는것도 장난으로 혼나는 것도 모든 것이 좋았답니다. 나를 사랑해주는 사람들이 있다는게 너무 고맙고 저두 진짜 많이 사랑합니다.. 사랑을 잘 못 표현하겠다보니 정성스럽게 음식을 준비하여 대접한 것으로 제 사랑하는 마음이 표현이 되었길..! 어떤 사람은 저보다 저를 많이 아끼고 사랑해주고 그러기도 하고, 어떤 또 다른 사람은 항상 제 이야기에 귀 기울여주고, 위로해주고 그러는데 미안해요.. 아직은 여유가 별로 없다보니 언제 여유가 생길지도 모르겠고 그래서 주위를 둘러보고 챙기고 그러는게 어려울때가 너무 많아요. 그럼에도 불구하고 많이 사랑합니다..! 그리고 다음번엔...ㅋㅋㅋ요리 대접은..힘들거같아요...?? 담엔 시켜먹는걸로..ㅋㅋㅋ 1일"
joy,음... 이번주 이벤트는 판정에 어려움이 있었어요. 우선 댓글을 1등으로 달아주신 suna.9980 님께 드리겠습니다.댓글 좋아요 이벤트는 삭제하신분도 계시고 정황상 어려운부분이 있어요. 해서 다음주까지 규칙을 명확히 하여 다시 실시하기로 했어요. 부족함이 많은 이벤트에 참여해주신 모든분들께 감사의 인사를 드립니다. 의 시작하겠습니다 참가조건은 1회와 같습니다 인친. 댓글 필쑤 잠깐 광고 저희 한림속하루는 과 이 있는 숙소입니다. 그 마력이란~ 아는분들만 아시죠.그럼.. 다시 본론으로~댓글 1등 1박스 댓글과 좋아요가 많은분 1박스 15시 마감.입니당.^^ 얼마전 보내드린 하귤이 속속들이 예쁜 자태를 뽐내며 소식이 오고있답니다^^ 이건 다시 정리해서 올려드릴께요.^^ 2차 이벤트 공개도 그때쯤 당일 인친은 죄송하지만 지난번 댓글에서 말씀드린데로 패쑤 광고를 목적으로 오신분도 죄송하지만.. 패쑤.. 자.. 그럼 방심 하시고 식사하시는 틈을 타서 이.제.게.임.을.시.작.하.지...
joy,"2021.5.4 독서를 마무리하며. 하루하루가 바쁜 와중에, 300페이지가 넘는 책을 읽는것이 이렇게 오래걸릴 줄 몰랐다. 다들 대단한 삶을 살고 있었구나. 그래도 예쁜 그림들과 마음에 와닿는 글귀들로 많은 치유를 받았다. 책을 반쯤 읽었을 때부터는 책 읽는 시간이 너무 즐거워서 잠을 조금씩 줄여가며 읽었다. 이 책은 가격대가 조금 높긴하지만 (내 기준에선..) 소장용으로 산 걸 후회하지 않는다. 아마 평생 두고두고 읽으며 마음을 편안하게 할 책이 아닐까 생각된다. 삶이 너무 힘들고 고될 때, 많이 우울할 때, 그냥 예쁜 그림이 보고 싶을 때 이 책을 읽어보시는 건 어떨까요? 빈센트 반 고흐의 명언을 끝으로 '그림의 힘' 독서를 마칩니다.  오늘 하루도 수고한 당신을 위한 밤의 테라스. -빈센트 반 고흐_밤의 카페 테라스 (크뢸러뮐러 미술관) 나는 아무것도 모르지만 별이 나를 꿈꾸게 한다는 사실만은 분명하다. -빈센트 반 고흐-"
joy,"내인생의 주인공... 바로나 나에게는 꿈이있나요. 아침에 일어나면 무슨생각을 하나요?! 출근하면서, 퇴근해서 잠자리에 들때 무슨 생각을하나요. 나의인생은 내가 만들어갑니다. 내가 작가가되어 한편의 영화속 시나리오를 만들어갑니다. 또 주인공이되어 마치 흥미로운 한편의 영화처럼... 영화도 주재가없다면 재미가없듯 인생에는 꿈. 목표가 있어야 행복합니다. 내인생의 주인공은 바로나. 지금 힘들고 어렵지만 결말은 해피엔딩. 내가 시나리오를 써내려가기 때문에 가능한일입니다. 외부의 영향을 생각하지마세요. 나의인생, 나의삶입니다. 다른사람이 뭐라해도 크게신경쓰지마세요. 나만강하면 나만이겨낼수 있다면 인생은 해피엔딩입니다. 강한파도에도 우뚝서있는 바위처럼... 큰 꿈을 가지세요. 처음에는 주변에서 웃을지 몰라도 시간이 지나면서 결국 그 꿈은 현실이되고... 많은 사람들도 꿈이아닌 사실로 인정해 줄것입니다. 새롭게시작되는 월요일아침에..."
